# Missing entries are shown as -999 value.
Query,Refcode,ANG1,ANG2,ANG3,ANG4,R-factor,Study Temp.
2,EGATEO,93.506,86.658,86.669,93.360,4.600,120
2,EGATIS,84.976,95.576,94.532,84.905,4.040,120
2,EGAVEQ,85.997,85.978,94.028,94.246,4.620,120
2,EGUKID,113.640,119.802,81.136,107.732,2.910,170
2,EGUKID,115.363,111.640,81.253,108.778,2.910,170
2,EGUKUP,116.500,105.302,81.525,115.758,3.690,170
2,EGUKUP,116.690,112.171,81.411,111.776,3.690,170
2,EHADID,94.923,116.685,78.017,126.875,4.890,100
2,EHADUP,95.123,113.321,77.750,126.911,4.400,100
2,EHUXIP,117.525,115.150,82.369,110.957,4.890,293
2,EJAHOM,92.135,100.648,92.747,101.708,3.350,223
2,EKAYAR,126.312,112.915,115.041,121.678,2.130,149
2,EKEYUQ,94.349,112.904,94.349,116.850,2.460,133
2,EKEZAX,106.361,117.988,115.265,131.877,3.340,133
2,ELOSEE,111.052,129.805,78.808,120.778,2.260,100
2,ELOSII,113.131,110.640,79.381,104.018,2.300,100
2,ELOSOO,112.598,110.964,79.348,103.128,1.880,91
2,EMECUW,115.334,94.364,91.964,130.819,2.660,123
2,EMEDEH,111.246,91.429,93.153,130.954,3.700,173
2,EMORCO01,114.850,88.336,114.850,116.764,2.800,295
2,ENAROC,119.988,109.626,81.639,112.062,3.410,120
2,ENAWOH,121.690,107.993,82.124,112.239,3.010,120
2,ENEHEM,106.500,105.194,98.087,119.196,3.800,153
2,ENOQII01,114.411,114.597,114.411,93.055,2.220,150
2,EPEFIP,118.946,115.458,102.359,95.904,3.300,150
2,EPEFIP01,102.774,106.849,107.740,113.114,2.620,100
2,EPEFIP02,115.486,102.545,95.553,118.881,3.360,100
2,EREHIT,109.119,109.344,109.119,109.344,2.080,296
2,ESILAU,113.690,113.592,100.945,116.565,2.570,100
2,ESUGII,112.149,110.012,108.897,108.674,4.050,293
2,ETBSCA01,93.510,85.892,93.510,87.305,4.230,173
2,ETETEC,95.921,117.545,95.921,125.947,3.760,90
2,EYARIG,119.530,106.624,107.947,107.826,4.820,293
2,EYOMOW,114.423,110.051,103.660,110.528,3.450,100
2,EZEXUE,106.011,92.753,136.712,90.745,4.380,120
2,EZOFAA,112.462,111.426,107.276,106.468,4.200,293
2,FAHLOQ,109.561,96.967,113.690,98.638,3.320,293
2,FAHLUW,117.160,115.406,117.160,112.356,3.390,293
2,FAJPEM01,94.061,105.059,94.061,117.831,3.900,100
2,FALGOQ,109.212,109.792,109.212,115.639,2.750,296
2,FANDOP,111.111,105.258,105.860,114.004,4.010,173
2,FANMEM,111.899,117.267,80.892,113.548,3.950,295
2,FAPQUJ,103.437,101.514,114.173,126.835,4.940,295
2,FAQLOB,112.178,103.966,110.972,105.980,3.590,180
2,FARZIH,114.281,107.829,104.526,109.698,4.380,295
2,FAXJEV,115.962,104.234,116.500,106.157,3.150,173
2,FAXJEV,117.246,105.032,109.648,109.356,3.150,173
2,FAYHAO,114.689,104.774,96.182,114.264,3.850,295
2,FAYHIZ,108.402,115.354,101.435,111.649,2.750,293
2,FAYHOF,107.247,111.841,100.327,110.078,2.620,293
2,FESDEN,83.959,96.041,83.959,96.041,3.490,100
2,FESDEN,84.036,95.964,84.036,95.964,3.490,100
2,FEWYOY,109.209,95.892,109.209,45.929,4.300,130
2,FEYMIG,89.924,90.076,89.924,90.076,3.850,293
2,FIBYUK,112.565,88.422,112.565,98.183,4.200,130
2,FIDZIC,112.551,97.673,112.984,110.971,4.200,273
2,FIHMOB,102.439,104.019,109.122,115.977,4.480,296
2,FILCUA,117.283,105.202,115.672,107.566,4.780,293
2,FITWOV,114.439,108.703,90.815,109.380,3.470,298
2,FITWUB,111.710,114.967,108.179,115.094,3.170,298
2,FIVQEG,115.919,113.050,107.875,109.490,3.600,295
2,FIWHID,123.677,95.010,114.810,94.413,4.310,293
2,FIZFOK,110.642,112.692,114.257,112.578,4.930,293
2,FIZREL,105.074,120.242,115.005,104.760,4.100,223
2,FOPTEL,108.978,106.719,103.251,115.818,4.520,293
2,FOPTEL,113.426,107.662,104.227,116.552,4.520,293
2,FOPTEL,118.729,104.896,115.373,104.267,4.520,293
2,FOPTEL,109.680,101.669,126.164,112.248,4.520,293
2,FOSJUU,110.835,118.674,83.145,124.807,4.250,133
2,FOSJUU,114.495,116.100,83.086,123.475,4.250,133
2,FOTMAC,124.810,117.250,81.665,115.641,4.200,295
2,FOVHAA,113.096,108.471,107.542,109.483,3.210,298
2,FOYWIA,111.035,112.235,102.997,111.503,3.780,293
2,FOYWOG,109.974,98.084,109.974,105.669,3.240,293
2,FOYWUM,109.566,107.641,110.504,104.698,3.700,293
2,FUDVEG,110.358,113.040,92.915,112.300,3.460,198
2,FUFVUX,118.067,101.156,105.911,101.290,4.100,295
2,FUFVUX01,118.146,115.204,105.622,115.237,4.500,295
2,FUFVUX02,119.880,114.599,106.776,114.504,2.930,100
2,FUFVUX03,118.132,115.293,105.733,115.099,2.470,293
2,FUFVUX04,119.314,100.400,106.501,100.957,3.940,150
2,FUGYUD,86.434,109.926,124.560,115.383,3.280,150
2,GABMED,111.469,116.825,93.866,107.314,3.530,173
2,GABMIH,115.925,113.574,94.248,109.957,3.940,173
2,GALZUR,100.351,125.659,119.659,103.539,3.440,160
2,GARVUR,100.628,112.518,110.575,111.850,3.650,90
2,GARVUR,106.935,115.068,106.935,105.148,3.650,90
2,GARWAY,103.729,109.235,112.600,108.354,3.750,293
2,GARWAY,107.818,113.491,107.818,105.963,3.750,293
2,GATWOP,95.704,84.296,95.704,84.296,2.510,150
2,GEDJIJ,123.842,90.635,122.531,89.328,3.390,100
2,GEDKAC,115.775,107.157,116.159,106.856,3.250,100
2,GEHCIF,116.678,116.602,102.420,99.335,3.400,295
2,GEJXIE,94.959,104.970,94.959,115.569,4.400,295
2,GEKVAV,106.654,106.578,102.207,106.018,4.090,295
2,GEMCOS,88.573,91.427,88.573,91.427,2.820,295
2,GEMCOS,88.723,91.277,88.723,91.277,2.820,295
2,GESNUO,123.081,93.677,94.345,124.926,3.510,203
2,GESPAW,109.690,114.472,98.869,111.688,2.950,293
2,GESPEA,92.860,123.590,124.730,90.709,3.490,203
2,GESTED,81.954,98.046,81.954,98.046,4.200,295
2,GETNAV,116.080,109.048,101.675,111.466,3.560,295
2,GIFJIQ,84.508,95.492,84.508,95.492,2.600,100
2,GIGGEJ,111.270,114.449,81.558,118.910,2.780,293
2,GIGGOT,117.131,117.131,115.055,115.055,2.690,293
2,GIGGUZ,112.795,106.552,77.343,139.554,3.670,293
2,GIGYON,100.588,126.397,102.095,116.305,4.960,100
2,GIGYON,117.280,109.969,122.754,107.708,4.960,100
2,GIQPEE,117.802,106.787,112.344,105.841,3.840,170
2,GIRXOW,85.889,86.280,94.139,94.302,2.810,100
2,GISVAF,109.864,113.925,108.731,113.744,3.800,295
2,GOBNES,110.442,117.693,101.574,95.074,1.570,150
2,GOGBAG,114.402,94.625,122.248,94.941,3.590,90
2,GOGBAG,115.235,115.948,122.199,117.152,3.590,90
2,GOGVUW,106.920,108.158,113.019,106.181,2.720,100
2,GOGVUW,109.604,104.726,107.763,108.143,2.720,100
2,GOGWAD,103.672,118.347,103.672,112.937,2.160,100
2,GOGXEI,102.291,113.877,102.291,112.786,3.270,100
2,GOHCAK,93.886,86.114,93.886,86.114,3.700,293
2,GOLPUT,111.405,104.351,101.114,116.454,4.460,120
2,GOLPUT,113.394,106.228,103.810,115.141,4.460,120
2,GOQZOD,113.512,106.625,104.702,110.768,2.240,173
2,GORJUU,85.543,94.457,85.543,94.457,4.630,296
2,GUFGET,123.661,105.498,102.576,105.616,4.380,295
2,GUJLUS,122.220,106.459,107.879,106.459,2.980,295
2,GUKDIB,97.584,83.036,83.544,94.516,3.170,100
2,GUKDOH,94.800,83.915,85.290,95.862,4.050,100
2,GUKDUN,84.672,83.280,100.080,93.152,2.760,100
2,GUKJIH,96.675,82.904,83.477,97.119,3.490,100
2,GUMXOD01,110.336,106.179,113.065,101.957,4.470,150
2,GUQFEE,92.255,144.092,92.175,110.188,4.860,293
2,GUVGUZ,134.541,76.659,134.541,76.659,4.820,295
2,GUVPIY,114.898,114.038,112.741,132.161,2.570,100
2,HANMIS,93.750,85.656,93.750,86.905,2.730,295
2,HATHAM,107.687,104.422,117.969,113.889,3.800,293
2,HATHEQ,113.679,109.000,108.203,104.839,4.510,293
2,HATHUI,112.285,97.161,116.577,97.437,3.800,150
2,HATHUI,96.738,124.128,96.738,114.244,3.800,150
2,HATSOK,112.133,115.769,95.122,108.085,4.800,295
2,HAVPUR,95.675,81.328,81.373,102.465,2.020,100
2,HAVQAY,95.513,81.502,81.306,102.534,1.950,100
2,HAXJIC,110.562,119.219,114.822,122.091,4.010,293
2,HAXJIC,117.391,112.690,120.253,113.686,4.010,293
2,HAXJOI,119.803,109.156,122.132,114.813,3.980,293
2,HAYRUW,114.215,104.731,107.631,111.831,2.380,293
2,HAYRUW01,111.591,104.836,106.017,111.936,3.290,293
2,HECZIY,90.135,89.865,90.135,89.865,3.900,127
2,HEGRAP,128.057,94.253,116.045,93.884,4.210,293
2,HEJRUM,130.774,90.157,92.820,118.396,3.370,173
2,HEJVIB,96.136,115.765,96.136,113.833,3.500,295
2,HENLOB,115.090,105.760,112.987,103.216,5.000,213
2,HEQVEF,104.066,114.292,114.292,104.066,4.230,293
2,HEQVEF,107.799,110.195,112.014,106.581,4.230,293
2,HEQZEI,89.930,90.070,89.930,90.070,3.460,198
2,HESPON,116.310,108.667,95.260,117.289,2.870,277
2,HEXTEJ,115.502,102.562,110.622,109.592,2.200,295
2,HEZDOF,93.896,126.444,94.059,127.419,4.400,295
2,HEZQUA,113.255,112.854,103.131,131.643,4.210,100
2,HEZQUA,130.220,103.826,109.474,114.815,4.210,100
2,HIDXUP,103.211,114.217,124.952,113.243,3.550,98
2,HIDYAW,110.991,111.667,109.770,110.900,3.780,98
2,HIDYIE,89.352,90.646,89.352,90.646,4.570,98
2,HIDYIE,90.777,90.777,89.223,89.223,4.570,98
2,HIDYIF,109.534,110.318,109.417,107.092,4.390,296
2,HIDYOL,111.550,110.997,108.346,108.313,4.640,296
2,HIGSUO,120.540,94.410,120.827,95.100,4.220,100
2,HIGTAV,96.688,119.189,98.338,119.189,2.930,100
2,HIHDIL,115.576,107.858,105.331,109.477,3.100,295
2,HIHGAH,117.326,106.985,110.725,101.675,4.080,200
2,HIPKIC,103.920,113.040,99.794,99.337,4.000,293
2,HIPLEY,121.617,114.450,85.793,105.818,4.470,293
2,HIPLOI,114.912,107.509,105.899,111.900,3.310,273
2,HIQWIO,95.482,116.576,95.482,127.409,3.000,298
2,HITJUQ,110.310,111.339,99.747,109.115,2.980,123
2,HIWCOG,90.672,89.458,89.735,90.210,2.390,130
2,HIWDAT,89.750,89.744,90.310,90.209,2.890,130
2,HIWDEX,141.613,106.464,119.444,91.840,4.210,130
2,HIWDIB,109.199,96.330,90.676,106.005,2.110,130
2,HIXMEI,113.565,102.570,106.535,109.250,2.170,173
2,HIZYIZ,137.435,102.227,128.390,92.702,4.050,130
2,HODYUU,116.403,106.917,113.141,104.620,4.300,295
2,HOKKIE,130.195,86.705,118.410,111.212,1.640,100
2,HOMKUP,116.413,95.636,88.503,108.176,4.840,295
