Date_Time,Rainfall,Solar_Energy,Relative_Humidity,Temperature,ObjectId
2016/12/08 21:00:00+00,0,0,,,321
2016/12/10 14:00:00+00,2.2,10.4,,,322
2016/12/15 07:00:00+00,0,0,,,323
2016/12/18 07:00:00+00,0,0,,,324
2016/12/18 15:00:00+00,0,45.9,,,325
2016/12/22 21:00:00+00,0,0,,,326
2016/12/24 23:00:00+00,0,0,,,327
2016/12/27 11:00:00+00,0,133.3,,,328
2017/01/02 11:00:00+00,0,178.5,,,329
2017/01/02 16:00:00+00,0,21.4,,,330
2017/01/03 21:00:00+00,0,0,,,331
2017/01/06 14:00:00+00,0.4,33.5,,,332
2017/01/06 23:00:00+00,0.2,0,,,333
2017/01/08 00:00:00+00,0.2,0,,,334
2017/01/08 14:00:00+00,0,50.4,,,335
2017/01/09 11:00:00+00,0.6,41.1,,,336
2017/01/12 00:00:00+00,0,0,,,337
2017/01/12 13:00:00+00,1.4,20.1,,,338
2017/01/15 08:00:00+00,0,0.3,,,339
2017/01/26 14:00:00+00,0,76.1,,,340
2017/01/27 15:00:00+00,0,17.3,,,341
2017/01/31 10:00:00+00,0,15.7,,,342
2017/02/02 08:00:00+00,0.2,0.8,,,343
2017/02/06 03:00:00+00,0,0,,,344
2017/02/06 07:00:00+00,0,0,,,345
2017/02/08 22:00:00+00,0,0,,,346
2017/02/09 12:00:00+00,0,60.2,,,347
2017/02/17 02:00:00+00,0,0,,,348
2017/02/18 00:00:00+00,0,0,,,349
2017/02/20 08:00:00+00,0,16.4,,,350
2016/11/09 04:00:00+00,0,0,,,351
2016/11/14 07:00:00+00,0,0,,,352
2008/08/09 00:00:00+00,0,-1.2,84.8,15.1,353
2016/11/16 22:00:00+00,0,0,,,354
2008/08/09 05:00:00+00,0,54.7,84.2,13.9,355
2016/11/17 18:00:00+00,0,1,,,356
2016/09/28 18:00:00+00,0,0,,,357
2016/11/20 03:00:00+00,2.6,0,,,358
2016/10/01 21:00:00+00,0,0,,,359
2016/11/20 20:00:00+00,0,0,,,360
2016/10/11 01:00:00+00,0,0,,,361
2016/11/25 16:00:00+00,0,24.4,,,362
2016/10/12 02:00:00+00,0.4,0,,,363
2016/11/30 07:00:00+00,0,0,,,364
2016/10/12 05:00:00+00,0,0.2,,,365
2016/12/03 19:00:00+00,0,0,,,366
2016/10/12 06:00:00+00,0,6.9,,,367
2016/12/11 06:00:00+00,0,0,,,368
2016/10/13 08:00:00+00,0,169.6,,,369
2016/10/15 11:00:00+00,0,423,,,370
2016/12/11 17:00:00+00,0,0.7,,,371
2016/10/16 15:00:00+00,0,150.6,,,372
2016/12/13 11:00:00+00,0.4,94.8,,,373
2016/10/20 08:00:00+00,0,55.4,,,374
2016/12/20 06:00:00+00,0,0.1,,,375
2016/10/21 22:00:00+00,0,0,,,376
